id,article,link,alias,feedbackSelection,feedbackInput
26,https://en.wikipedia.org/wiki/Harry_Cornish,https://cricketarchive.com/Archive/Players/28/28739/Other_matches.html,https://cricketarchive.com/Archive/Players/28/28739/28739.html,Correct,
27,https://en.wikipedia.org/wiki/List_of_Northern_Knights_first-class_players,https://cricketarchive.com/Archive/Players/1479/1479570/f_Bowling_by_Team.htmll,https://cricketarchive.com/Archive/Players/1479/1479570/1479570.html,Correct,
28,"https://en.wikipedia.org/wiki/Tim_Walton_(cricketer,_born_1972)",https://cricketarchive.com/Archive/Players/4/4705/Youth_Test_Matches.html,https://cricketarchive.com/Archive/Players/4/4705/4705.html,Correct,
29,https://en.wikipedia.org/wiki/List_of_Western_Australia_List_A_cricketers,https://cricketarchive.com/Archive/Players/2/2448/2445.html,https://cricketarchive.com/Archive/Players/2/2448/2448.html,Correct,
30,https://en.wikipedia.org/wiki/Gordon_McKinna,http://cricketarchive.com/Archive/Players/31/31378.html,https://cricketarchive.com/Archive/Players/31/31378/31378.html,Correct,
31,https://en.wikipedia.org/wiki/David_Harris_(English_cricketer),https://cricketarchive.com/Archive/Players/29/29984/Other_matches.html,https://cricketarchive.com/Archive/Players/29/29984/29984.html,Correct,
32,https://en.wikipedia.org/wiki/Robert_Copland-Crawford,https://cricketarchive.com/Archive/Players/28/28719/Other_matches.html,https://cricketarchive.com/Archive/Players/28/28719/28719.html,Correct,
33,https://en.wikipedia.org/wiki/Malcolm_Dolman,https://cricketarchive.com/Archive/Players/11/11902/Other_matches.html,https://cricketarchive.com/Archive/Players/11/11902/11902.html,Correct,
34,https://en.wikipedia.org/wiki/J._T._Dixon,https://cricketarchive.com/Archive/Players/29/29093/Other_matches.html,https://cricketarchive.com/Archive/Players/29/29093/29093.html,Correct,
35,https://en.wikipedia.org/wiki/Ronnie_O%27Reilly,https://cricketarchive.com/Archive/Players/48/48117/Umpire_in_Womens_One-Day_International_Matches.html,https://cricketarchive.com/Archive/Players/48/48117/48117.html,Correct,cricketarchive.com is hard to verify due to paywall javascript redirects the page very quickly but  content that flashes at first appears to be correct.
36,"https://en.wikipedia.org/wiki/Ian_Cockbain_(cricketer,_born_1958)",https://cricketarchive.com/Archive/Players/7/7273/a_Batting_by_Teamhtml,https://cricketarchive.com/Archive/Players/7/7273/7273.html,Correct,
37,https://en.wikipedia.org/wiki/Stephen_Perryman,https://cricketarchive.com/Archive/Players/32/32031/Youth_Test_Matches.html,https://cricketarchive.com/Archive/Players/32/32031/32031.html,Correct,
38,https://en.wikipedia.org/wiki/Septimus_Brutton,https://cricketarchive.com/Archive/Players/6/6506/Other_matches.html,https://cricketarchive.com/Archive/Players/6/6506/6506.html,Correct,
39,https://en.wikipedia.org/wiki/Brian_Boobbyer,https://cricketarchive.com/Archive/Players/27/27997/Other_matches.html,https://cricketarchive.com/Archive/Players/27/27997/27997.html,Correct,
40,https://en.wikipedia.org/wiki/Charles_Butler_(cricketer),https://cricketarchive.com/Archive/Players/2/2431/Other_matches.html,https://cricketarchive.com/Archive/Players/2/2431/2431.html,Correct,
41,https://en.wikipedia.org/wiki/Michael_Longmore,https://cricketarchive.com/Archive/Players/10/10877/List_A_Matches.htmll,https://cricketarchive.com/Archive/Players/10/10877/10877.html,Correct,
